comp,ele_comb,reward,rl_step
Na2SrBiF8,"('Bi', 'F', 'Na', 'Sr')",1.01049308796064e-05,3
Ca2In4Ni,"('Ca', 'In', 'Ni')",0.4970513582229614,3
Ca3Sm3Pt2,"('Ca', 'Pt', 'Sm')",0.6644467115402222,3
Rb7Cd8In5,"('Cd', 'In', 'Rb')",0.2276394367218017,3
Ho6InFeCo,"('Co', 'Fe', 'Ho', 'In')",0.1351913213729858,3
La4In2Bi,"('Bi', 'In', 'La')",0.1445081830024719,3
PrZnCdAu2,"('Au', 'Cd', 'Pr', 'Zn')",0.0022701784037053,3
Li7Ag12Hg,"('Ag', 'Hg', 'Li')",0.8363441824913025,3
Tb7Sm4Tm5,"('Sm', 'Tb', 'Tm')",0.9238152503967284,3
CaYbEuTl,"('Ca', 'Eu', 'Tl', 'Yb')",0.8061638474464417,3
RbZr(TlCl3)2,"('Cl', 'Rb', 'Tl', 'Zr')",2.2466845621238463e-05,3
Ca3Nd2TlSe6,"('Ca', 'Nd', 'Se', 'Tl')",0.0830819085240364,3
Sr6PbN2,"('N', 'Pb', 'Sr')",0.0874351263046264,3
PrTm5In6,"('In', 'Pr', 'Tm')",0.4049581885337829,3
CaCdInAu3,"('Au', 'Ca', 'Cd', 'In')",0.0009581478661857,3
LiCu2TeO6,"('Cu', 'Li', 'O', 'Te')",0.973716676235199,3
NaCaCl3,"('Ca', 'Cl', 'Na')",1.2644595699384809e-05,3
Pr5(SmHo)2,"('Ho', 'Pr', 'Sm')",0.7905290126800537,3
Tb4CdNiAu2,"('Au', 'Cd', 'Ni', 'Tb')",0.1988140344619751,3
Ga5AgAu5,"('Ag', 'Au', 'Ga')",0.0002682595804799,4
Li6CdAg4,"('Ag', 'Cd', 'Li')",0.2186323702335357,4
Sr(NdBi)2,"('Bi', 'Nd', 'Sr')",0.0642079710960388,4
IrPtRhAu,"('Au', 'Ir', 'Pt', 'Rh')",0.0,4
Tb3Y6Er,"('Er', 'Tb', 'Y')",0.934172511100769,4
Cs(Zn3Au2)2,"('Au', 'Cs', 'Zn')",0.8284583687782288,4
Cd3In2(GaSn)3,"('Cd', 'Ga', 'In', 'Sn')",0.2056700587272644,4
Nd3SnPt,"('Nd', 'Pt', 'Sn')",0.1115601137280464,4
Y9Sc7In2,"('In', 'Sc', 'Y')",0.4975254833698272,4
K2CdIn2Ag5,"('Ag', 'Cd', 'In', 'K')",0.8138031363487244,4
AgPdF4,"('Ag', 'F', 'Pd')",0.0004299666616134,4
Tb2Sm2GaSi3,"('Ga', 'Si', 'Sm', 'Tb')",0.6830416917800903,4
K2TlHg,"('Hg', 'K', 'Tl')",0.023215701803565,4
LaPr4SmAl3,"('Al', 'La', 'Pr', 'Sm')",0.876911461353302,4
NdDy5(Y2Sc)2,"('Dy', 'Nd', 'Sc', 'Y')",0.8937474489212036,5
SrTlSnHg2,"('Hg', 'Sn', 'Sr', 'Tl')",0.6598936319351196,5
DyZnCu2,"('Cu', 'Dy', 'Zn')",0.0211853552609682,5
Li7(AgSn)2,"('Ag', 'Li', 'Sn')",0.4987039566040039,5
Rb3Sm4TeS7,"('Rb', 'S', 'Sm', 'Te')",0.0074266190640628,5
YTm4In,"('In', 'Tm', 'Y')",0.9675151705741882,5
Sc7(TlGa)2,"('Ga', 'Sc', 'Tl')",0.1194236129522323,5
La6InGe2,"('Ge', 'In', 'La')",0.8542294502258301,5
Sm8Tl7Ir3,"('Ir', 'Sm', 'Tl')",0.0632495954632759,5
Tm3Al5Pd12,"('Al', 'Pd', 'Tm')",9.496166967437604e-06,5
Na2CaTl,"('Ca', 'Na', 'Tl')",0.0865045115351677,5
Nd2AlZn2,"('Al', 'Nd', 'Zn')",0.9553560614585876,5
LiEr(Mg2Cd)2,"('Cd', 'Er', 'Li', 'Mg')",0.6234795451164246,5
ScZn3Cd2Ag,"('Ag', 'Cd', 'Sc', 'Zn')",0.1198781356215477,5
La2Y2ErTm,"('Er', 'La', 'Tm', 'Y')",0.9916244149208068,6
K(Na2Li)3,"('K', 'Li', 'Na')",0.0003045117482542,6
Na2Sr,"('Na', 'Sr')",0.0004984547849744,6
NaTl6In2Hg,"('Hg', 'In', 'Na', 'Tl')",0.0619912929832935,6
Ba4PbAu,"('Au', 'Ba', 'Pb')",0.2532479166984558,6
LaDyIn,"('Dy', 'In', 'La')",0.3984779715538025,6
Pr2Nd5Sm2Y2In,"('In', 'Nd', 'Pr', 'Sm', 'Y')",0.8830978870391846,6
TbSc,"('Sc', 'Tb')",0.7405515313148499,6
Na3LiHg,"('Hg', 'Li', 'Na')",0.014203350059688,6
Cs3Rb9Na4,"('Cs', 'Na', 'Rb')",0.0001360265887342,6
Na5Sn,"('Na', 'Sn')",0.0193103700876235,6
K3Hg,"('Hg', 'K')",0.0008755493327043,6
La2TbErIn2,"('Er', 'In', 'La', 'Tb')",0.520887553691864,6
K3Pr3ErSe8,"('Er', 'K', 'Pr', 'Se')",0.0061752274632453,6
In2Sn3PbAu4,"('Au', 'In', 'Pb', 'Sn')",2.31364970204595e-06,6
Tb2NdDySc2,"('Dy', 'Nd', 'Sc', 'Tb')",0.7959399223327637,6
La6HoSn,"('Ho', 'La', 'Sn')",0.2780745029449463,6
Sr2In5SnAu2,"('Au', 'In', 'Sn', 'Sr')",0.6374817490577698,6
Li4Al3Zn3Ag4,"('Ag', 'Al', 'Li', 'Zn')",0.9971954822540284,7
LaTbPrDy2,"('Dy', 'La', 'Pr', 'Tb')",0.991723358631134,7
Sm5Dy5Mg2,"('Dy', 'Mg', 'Sm')",0.9999216198921204,7
Sr2Hg3,"('Hg', 'Sr')",0.906986653804779,7
Cs2RbSe2O7,"('Cs', 'O', 'Rb', 'Se')",8.79914568940876e-06,7
La4CoIr,"('Co', 'Ir', 'La')",0.3719695508480072,7
K2Rb2Pt3,"('K', 'Pt', 'Rb')",0.6814519166946411,7
SrHg4,"('Hg', 'Sr')",0.8906676769256592,7
Sr8Tl2Pt,"('Pt', 'Sr', 'Tl')",0.7005758285522461,7
Nd6HoTm5,"('Ho', 'Nd', 'Tm')",0.854705810546875,8
MgCd3Pb2,"('Cd', 'Mg', 'Pb')",0.0690588057041168,8
Tb2PrY2,"('Pr', 'Tb', 'Y')",0.8410714268684387,8
Li7Er(GaPt5)2,"('Er', 'Ga', 'Li', 'Pt')",0.0004359805607236,8
Ho2InHg7,"('Hg', 'Ho', 'In')",0.0357786044478416,8
PrIn7Ag12,"('Ag', 'In', 'Pr')",0.0354290045797824,8
Ho3As2Rh7,"('As', 'Ho', 'Rh')",1.257012403361867e-18,8
Pr2Nd2Sm7Er,"('Er', 'Nd', 'Pr', 'Sm')",0.9775705337524414,8
La4Tb2Sm5Dy,"('Dy', 'La', 'Sm', 'Tb')",0.939094603061676,8
ZnCd2Ga3Hg4,"('Cd', 'Ga', 'Hg', 'Zn')",0.6907455325126648,8
Cs3Rb3ScF8,"('Cs', 'F', 'Rb', 'Sc')",9.05903107195627e-06,8
Li5La2Cd9,"('Cd', 'La', 'Li')",0.9616801142692566,8
Tl3Bi,"('Bi', 'Tl')",5.7832124866763486e-08,8
Rb4In5Bi11,"('Bi', 'In', 'Rb')",0.7367600798606873,8
NaCa7(AlCd)2,"('Al', 'Ca', 'Cd', 'Na')",0.2219443172216415,9
Tb3TlHg,"('Hg', 'Tb', 'Tl')",0.3481764793395996,9
NaPdSe,"('Na', 'Pd', 'Se')",0.2277152985334396,9
Tb5Bi3P2,"('Bi', 'P', 'Tb')",0.0027992576360702,9
Tm8NiRh2,"('Ni', 'Rh', 'Tm')",0.819682776927948,9
DyLu2Ag3,"('Ag', 'Dy', 'Lu')",0.9058610796928406,9
La2(PrTm)5,"('La', 'Pr', 'Tm')",0.856101393699646,9
Li5Ca3Cd2,"('Ca', 'Cd', 'Li')",0.0722629427909851,9
Li5Au,"('Au', 'Li')",0.0886537805199623,9
Li6Hg2Ge,"('Ge', 'Hg', 'Li')",0.4466244876384735,9
Ca3Cu8Au,"('Au', 'Ca', 'Cu')",2.196075729443692e-05,9
Cs2Hg9Au,"('Au', 'Cs', 'Hg')",0.1508305668830871,9
Rb3Sb2,"('Rb', 'Sb')",0.0296622980386018,9
Sr2ZnNiGe2,"('Ge', 'Ni', 'Sr', 'Zn')",0.8231298327445984,9
YTm3P4,"('P', 'Tm', 'Y')",0.9858747720718384,9
LiCaHoTl5,"('Ca', 'Ho', 'Li', 'Tl')",0.1799814254045486,9
Sc2Zn10Pt3,"('Pt', 'Sc', 'Zn')",0.0001621671981411,9
TbSm2Y3,"('Sm', 'Tb', 'Y')",0.8966888785362244,9
LaTb2(DyEr2)3,"('Dy', 'Er', 'La', 'Tb')",0.9982260465621948,9
Dy(Cd2Pd)2,"('Cd', 'Dy', 'Pd')",0.0061952755786478,10
Tb2Sn4Pd3,"('Pd', 'Sn', 'Tb')",1.1581671060412193e-05,10
TbTl2CdHg5,"('Cd', 'Hg', 'Tb', 'Tl')",0.0897209346294403,10
PrIn7,"('In', 'Pr')",0.0747345983982086,10
Li7Ca3Au2,"('Au', 'Ca', 'Li')",0.2457163631916046,10
Y3Er5(TmSc)2,"('Er', 'Sc', 'Tm', 'Y')",0.9955754280090332,10
Cs2SmErO4,"('Cs', 'Er', 'O', 'Sm')",0.0005369153805077,10
Tb6(PrEr)5,"('Er', 'Pr', 'Tb')",0.9735310673713684,10
ErHCl,"('Cl', 'Er', 'H')",0.0005774224409833,10
Tb2TmAs3,"('As', 'Tb', 'Tm')",0.3005654513835907,10
Mg(CdAu2)2,"('Au', 'Cd', 'Mg')",7.095607088558609e-07,10
Ce2SmYSe4,"('Ce', 'Se', 'Sm', 'Y')",0.9923008680343628,10
